x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.691943,0.679269,-0.0,0.650633,0.662112,-0.012561,0.6171,0.616054,-0.017101,0.595141,0.569547,-0.023768,0.580734,0.528212,-0.027219,0.622321,0.560495,0.008718,0.608618,0.512629,-0.011706,0.616127,0.539138,-0.023838,0.624356,0.568435,-0.027624,0.649864,0.552416,0.006564,0.639386,0.505309,-0.014616,0.643851,0.552933,-0.021425,0.648457,0.581938,-0.019024,0.678102,0.552575,-4.4e-05,0.671579,0.512876,-0.021722,0.671584,0.562395,-0.01804,0.673252,0.591128,-0.00791,0.707783,0.558838,-0.007907,0.703596,0.523621,-0.019861,0.696562,0.554474,-0.014274,0.692725,0.578133,-0.005535,A
0.557872,0.746218,-0.0,0.522436,0.703063,-0.009498,0.503211,0.635064,-0.012842,0.493904,0.577715,-0.019766,0.49287,0.530743,-0.022815,0.53168,0.581927,0.014413,0.525524,0.526091,-0.008245,0.517406,0.565798,-0.019078,0.519313,0.599306,-0.021301,0.558754,0.589329,0.009878,0.553213,0.540176,-0.012785,0.540003,0.596512,-0.016158,0.54457,0.620971,-0.010539,0.585524,0.604248,0.000152,0.579066,0.563547,-0.022574,0.563496,0.61815,-0.013278,0.566229,0.642182,0.001106,0.612983,0.625957,-0.010966,0.605854,0.587769,-0.020806,0.588204,0.620026,-0.010382,0.586112,0.641066,0.001896,A
0.61957,0.735284,-0.0,0.589455,0.693057,-0.012258,0.578954,0.623437,-0.016416,0.578983,0.567968,-0.022805,0.585392,0.523994,-0.025509,0.610107,0.578809,0.006231,0.615272,0.526011,-0.017434,0.60638,0.564181,-0.029958,0.602053,0.59737,-0.033461,0.638145,0.591719,0.002881,0.646802,0.54448,-0.021405,0.62759,0.593699,-0.027723,0.622486,0.619724,-0.024232,0.664363,0.613226,-0.005065,0.67263,0.575409,-0.02869,0.650581,0.621069,-0.02294,0.644341,0.642098,-0.011101,0.690076,0.641008,-0.014234,0.696954,0.607274,-0.025765,0.677047,0.63341,-0.017553,0.667897,0.649338,-0.006902,A
0.65252,0.739827,-0.0,0.616849,0.698309,-0.012584,0.599037,0.629702,-0.016818,0.59137,0.570029,-0.023599,0.591356,0.520841,-0.026622,0.621626,0.576789,0.010524,0.623027,0.520585,-0.012216,0.620485,0.554232,-0.024147,0.620409,0.587076,-0.027015,0.650813,0.5849,0.007896,0.654699,0.533334,-0.015369,0.64293,0.586711,-0.020634,0.641099,0.614541,-0.01612,0.678972,0.600871,0.000228,0.68262,0.560587,-0.023196,0.666985,0.611964,-0.016516,0.663313,0.636234,-0.003606,0.706926,0.623098,-0.008836,0.711309,0.584481,-0.019603,0.694561,0.614892,-0.010683,0.68669,0.63487,0.000566,A
0.653388,0.720715,-0.0,0.610144,0.702932,-0.013227,0.572349,0.649145,-0.017031,0.548737,0.598576,-0.022888,0.534238,0.556709,-0.024662,0.57598,0.580975,0.011042,0.563304,0.53653,-0.012398,0.570699,0.576554,-0.024228,0.579018,0.605584,-0.027103,0.604656,0.572103,0.008349,0.594041,0.534005,-0.014246,0.598981,0.589913,-0.018339,0.605105,0.60829,-0.013463,0.635734,0.5725,0.000129,0.629076,0.544922,-0.022417,0.629956,0.59954,-0.014816,0.633686,0.614709,-0.002136,0.66838,0.579305,-0.009749,0.660911,0.556158,-0.019925,0.657876,0.592893,-0.011086,0.659965,0.604833,-0.000217,A
0.630933,0.812958,-0.0,0.601219,0.768941,-0.010513,0.588667,0.701681,-0.013777,0.585143,0.646411,-0.019721,0.588434,0.602677,-0.022127,0.615402,0.657546,0.011393,0.617583,0.607461,-0.010028,0.609394,0.638723,-0.020703,0.607417,0.667582,-0.023369,0.640707,0.66887,0.007701,0.642671,0.623926,-0.01421,0.626853,0.672036,-0.018219,0.627096,0.694741,-0.013455,0.664557,0.688326,-0.000941,0.664612,0.652785,-0.022102,0.64685,0.696521,-0.014888,0.646878,0.715048,-0.002711,0.687898,0.713866,-0.011014,0.68517,0.684196,-0.020052,0.668708,0.708104,-0.011699,0.667075,0.721457,-0.001614,A
0.695259,0.718604,-0.0,0.665382,0.6703,-0.010456,0.65699,0.600325,-0.014019,0.658484,0.544878,-0.020442,0.664792,0.500164,-0.023782,0.687124,0.558541,0.010102,0.695517,0.505732,-0.011899,0.687068,0.534594,-0.024655,0.680367,0.566832,-0.028434,0.71354,0.571616,0.006111,0.724968,0.518791,-0.016307,0.705842,0.563656,-0.022745,0.697999,0.593805,-0.019365,0.737952,0.593186,-0.002363,0.749249,0.550052,-0.024545,0.726482,0.593673,-0.019381,0.716697,0.621156,-0.007798,0.761633,0.621868,-0.012023,0.771587,0.585456,-0.022892,0.751524,0.607387,-0.01528,0.739326,0.625498,-0.005029,A
0.707578,0.721235,-0.0,0.677956,0.668267,-0.009901,0.66874,0.601849,-0.013651,0.670998,0.546725,-0.020325,0.679705,0.502362,-0.024021,0.700109,0.560309,0.012894,0.711961,0.511818,-0.008512,0.704745,0.537065,-0.0225,0.695486,0.568784,-0.027381,0.727338,0.575859,0.00903,0.740172,0.528544,-0.013111,0.720932,0.569361,-0.021721,0.709316,0.600375,-0.020478,0.751454,0.598908,0.000706,0.764221,0.559274,-0.021657,0.740888,0.599907,-0.018382,0.728222,0.628437,-0.008196,0.774143,0.629187,-0.008646,0.786092,0.594402,-0.020045,0.765735,0.614647,-0.013508,0.751214,0.633134,-0.004087,A
0.705515,0.707045,-0.0,0.673681,0.661477,-0.008511,0.663071,0.593019,-0.011675,0.663888,0.537695,-0.017679,0.670719,0.495083,-0.02115,0.693528,0.548561,0.009693,0.701171,0.498968,-0.011266,0.694669,0.527235,-0.024168,0.688688,0.559363,-0.028221,0.720285,0.561691,0.005371,0.730764,0.514363,-0.015297,0.713975,0.556425,-0.022228,0.705397,0.585532,-0.020036,0.745399,0.583292,-0.002945,0.754098,0.544534,-0.023635,0.734692,0.586636,-0.019512,0.725735,0.612962,-0.009361,0.769477,0.611807,-0.012112,0.777765,0.577418,-0.022206,0.760318,0.601259,-0.014686,0.750082,0.619941,-0.004852,A
0.679267,0.701172,-0.0,0.64093,0.65957,-0.009137,0.621399,0.594056,-0.01212,0.613344,0.539124,-0.018233,0.612073,0.493887,-0.021499,0.642765,0.544432,0.012184,0.640186,0.489543,-0.008722,0.638178,0.516768,-0.021546,0.63881,0.549033,-0.025663,0.671301,0.549914,0.008071,0.671702,0.498602,-0.013858,0.661998,0.545985,-0.021437,0.659933,0.576969,-0.019254,0.699028,0.563529,-0.000308,0.699558,0.520734,-0.021298,0.686598,0.568171,-0.016701,0.683178,0.596898,-0.006086,0.726677,0.583996,-0.009863,0.727171,0.545928,-0.019618,0.71223,0.573698,-0.011949,0.705509,0.595075,-0.002028,A
0.670174,0.712334,-0.0,0.631106,0.677765,-0.010738,0.607828,0.61077,-0.013799,0.595979,0.554027,-0.019599,0.59163,0.506951,-0.022051,0.625928,0.556279,0.011693,0.62232,0.502569,-0.010467,0.621161,0.53564,-0.023072,0.623831,0.568443,-0.026763,0.654539,0.559008,0.008009,0.652363,0.507054,-0.01478,0.64469,0.55872,-0.021187,0.646264,0.587936,-0.017612,0.682964,0.570439,-0.000401,0.680589,0.530624,-0.022374,0.669593,0.581095,-0.016559,0.669613,0.60613,-0.004721,0.712107,0.588412,-0.010151,0.709478,0.551677,-0.019875,0.695697,0.583017,-0.011254,0.691907,0.603154,-0.000544,A
0.662001,0.705211,-0.0,0.620251,0.674103,-0.010061,0.592529,0.612881,-0.013517,0.577022,0.559134,-0.019882,0.570583,0.513762,-0.022995,0.609028,0.556825,0.012319,0.600456,0.503354,-0.00931,0.600477,0.533978,-0.021704,0.605124,0.565894,-0.025416,0.637441,0.557239,0.00832,0.630838,0.506349,-0.01431,0.62665,0.558234,-0.020664,0.630446,0.587334,-0.01712,0.666064,0.565684,-0.00028,0.660305,0.525447,-0.021625,0.652664,0.576149,-0.015437,0.654492,0.601805,-0.003542,0.696078,0.580586,-0.01023,0.689322,0.546218,-0.019637,0.677873,0.577992,-0.011057,0.67627,0.597709,-0.000464,A
0.642048,0.703441,-0.0,0.59959,0.677601,-0.009833,0.568503,0.61806,-0.013369,0.550577,0.564929,-0.019686,0.540181,0.519892,-0.022841,0.580994,0.560368,0.010444,0.570399,0.508245,-0.012001,0.569695,0.538437,-0.02381,0.574533,0.570584,-0.02671,0.609184,0.557097,0.006055,0.598813,0.506396,-0.016187,0.596273,0.559958,-0.020656,0.602513,0.587557,-0.015666,0.638881,0.562776,-0.002956,0.628671,0.522697,-0.024828,0.623956,0.576281,-0.017266,0.628993,0.600833,-0.004188,0.670352,0.575087,-0.013223,0.659601,0.542562,-0.023222,0.649923,0.577008,-0.013946,0.650668,0.596692,-0.002617,A
0.617106,0.710196,-0.0,0.573129,0.68579,-0.008958,0.540034,0.627431,-0.012137,0.519068,0.576328,-0.01855,0.506642,0.533543,-0.021562,0.551524,0.567197,0.012295,0.535201,0.516024,-0.010435,0.536609,0.552911,-0.022351,0.545433,0.584145,-0.025516,0.579171,0.56169,0.00729,0.564456,0.514094,-0.015257,0.564191,0.568767,-0.019841,0.572996,0.592349,-0.01512,0.60858,0.564508,-0.002486,0.59457,0.528292,-0.023397,0.592189,0.58235,-0.014958,0.599656,0.602762,-0.001918,0.640216,0.573655,-0.013711,0.624955,0.545156,-0.022029,0.61719,0.580559,-0.011946,0.621272,0.597106,-0.00054,A
0.630037,0.718578,-0.0,0.585858,0.687469,-0.008487,0.555203,0.62531,-0.010799,0.537211,0.570399,-0.016458,0.525788,0.525333,-0.018995,0.569547,0.56962,0.015121,0.557005,0.515112,-0.006784,0.557263,0.549454,-0.01934,0.563354,0.580919,-0.023127,0.597465,0.56661,0.010054,0.586442,0.51373,-0.012912,0.583741,0.567558,-0.019506,0.589746,0.596083,-0.01599,0.626486,0.57192,0.000299,0.615953,0.529403,-0.021637,0.611216,0.582983,-0.015157,0.616021,0.608926,-0.002869,0.657307,0.58381,-0.010703,0.645232,0.548006,-0.020357,0.636125,0.583856,-0.011142,0.637745,0.605299,0.0,A
0.66344,0.721488,-0.0,0.622908,0.689413,-0.011099,0.597864,0.624776,-0.014268,0.584522,0.569302,-0.020009,0.578837,0.523415,-0.022331,0.614778,0.569678,0.011066,0.60967,0.514885,-0.011455,0.609056,0.544792,-0.024652,0.61098,0.578421,-0.028791,0.644752,0.571004,0.007264,0.64091,0.517943,-0.016803,0.634412,0.569516,-0.024137,0.635315,0.602417,-0.020955,0.67447,0.581657,-0.001233,0.672021,0.54071,-0.024427,0.661903,0.592079,-0.019623,0.660912,0.620457,-0.008071,0.705142,0.599093,-0.011028,0.702536,0.564079,-0.022358,0.689408,0.594972,-0.01515,0.685043,0.615426,-0.005189,A
0.686845,0.726315,-0.0,0.648503,0.690004,-0.011525,0.625953,0.623196,-0.015116,0.615279,0.5667,-0.021309,0.61243,0.519464,-0.024226,0.644283,0.569565,0.010595,0.641227,0.515501,-0.012015,0.641853,0.544776,-0.025629,0.64335,0.577596,-0.030018,0.674165,0.573599,0.007211,0.673518,0.523995,-0.016063,0.665936,0.573869,-0.023586,0.664217,0.604856,-0.02104,0.703381,0.586326,-0.000892,0.704089,0.546001,-0.023716,0.692664,0.596163,-0.01896,0.689523,0.624027,-0.007727,0.732753,0.606062,-0.010326,0.733165,0.569352,-0.021751,0.719531,0.599303,-0.014378,0.713512,0.620178,-0.004302,A
0.705356,0.726635,-0.0,0.668353,0.689872,-0.014093,0.646779,0.622328,-0.018871,0.637366,0.564775,-0.02566,0.636878,0.517277,-0.028626,0.667022,0.568427,0.008663,0.665997,0.515439,-0.014216,0.665821,0.547749,-0.026592,0.666668,0.579689,-0.030108,0.697306,0.573808,0.006321,0.699219,0.52419,-0.017002,0.68991,0.576807,-0.022678,0.687993,0.603373,-0.018769,0.726024,0.588298,-0.001116,0.729028,0.54768,-0.024381,0.715792,0.598673,-0.017811,0.712415,0.622228,-0.005429,0.754443,0.609638,-0.010168,0.757689,0.574864,-0.021954,0.742811,0.604958,-0.013996,0.735958,0.62282,-0.003515,A
0.721697,0.731685,-0.0,0.686093,0.691709,-0.012886,0.667533,0.623403,-0.01703,0.661191,0.566418,-0.02307,0.660352,0.519104,-0.025728,0.687762,0.570671,0.008216,0.690761,0.519062,-0.013972,0.690278,0.549399,-0.027038,0.688615,0.581347,-0.031271,0.717735,0.577645,0.005415,0.723028,0.528824,-0.017396,0.712871,0.578334,-0.024576,0.70849,0.607811,-0.022133,0.745981,0.594045,-0.002032,0.752562,0.554012,-0.025066,0.737899,0.603089,-0.020301,0.731627,0.629376,-0.009301,0.773352,0.617944,-0.010814,0.779156,0.583011,-0.023271,0.763703,0.612549,-0.016191,0.754566,0.632056,-0.006319,A
0.757037,0.752316,-0.0,0.726054,0.705137,-0.012325,0.712735,0.636414,-0.016878,0.710553,0.577768,-0.023706,0.713602,0.529898,-0.027435,0.735088,0.589132,0.009326,0.742974,0.535303,-0.011871,0.742083,0.563255,-0.026002,0.737319,0.596002,-0.031314,0.763867,0.599631,0.006648,0.774266,0.549973,-0.014544,0.762096,0.593368,-0.023342,0.752446,0.623025,-0.023037,0.790443,0.618996,-0.000423,0.802622,0.576544,-0.02154,0.785837,0.61979,-0.018289,0.774216,0.64777,-0.009246,0.815241,0.645722,-0.008848,0.826945,0.610174,-0.020641,0.810265,0.634134,-0.01474,0.796867,0.65336,-0.006194,A
0.727057,0.744219,-0.0,0.692479,0.705529,-0.012415,0.674694,0.637125,-0.016615,0.668304,0.579819,-0.022839,0.66949,0.532487,-0.025987,0.697833,0.586755,0.007347,0.701399,0.535926,-0.014824,0.699742,0.565351,-0.027477,0.698068,0.59805,-0.03126,0.727106,0.594264,0.004251,0.733192,0.542479,-0.017651,0.722186,0.590742,-0.023943,0.71844,0.619631,-0.020767,0.755032,0.610944,-0.003384,0.761974,0.570208,-0.025708,0.746128,0.617122,-0.020668,0.73997,0.641588,-0.009477,0.7824,0.635233,-0.012264,0.78929,0.599276,-0.023567,0.773562,0.626302,-0.015778,0.764838,0.644419,-0.00554,A
0.697579,0.741481,-0.0,0.660804,0.702129,-0.010859,0.641077,0.63334,-0.014819,0.632315,0.576565,-0.021369,0.630563,0.528974,-0.02492,0.664507,0.582918,0.008581,0.663725,0.529941,-0.013328,0.661153,0.558354,-0.025437,0.660082,0.589712,-0.028836,0.693393,0.588853,0.004767,0.694905,0.537759,-0.016747,0.684587,0.58682,-0.022392,0.682443,0.614178,-0.018905,0.722186,0.603675,-0.003512,0.723259,0.562931,-0.02527,0.709355,0.611068,-0.019299,0.705927,0.635119,-0.007645,0.751034,0.625504,-0.01297,0.752173,0.587407,-0.023338,0.73718,0.615394,-0.014581,0.731004,0.633981,-0.003751,A
